"DISTRICTE","CODI_ILLA","SECC_CENS","BARRI","NOM_DISTRICTE","NOM_BARRI","AEB","HABITANTS","NUM_PARC","NUM_LOCALS","NUM_VIVENDES","NUM_PARKINGS","NUM_ALTRES","SUP_CONS","SUP_SOBRE_RASANT","SUP_SOTA_RASANT","SUP_LOCALS","SUP_SERVEIS","SUP_SOL","DATA_DADES"
"07","28293","120","43","Horta-Guinardó","Horta","156","371","53","344","147","108","30","20792","18576","2216","","","16228","03/03/2023 00:02:11"
"07","28300","120","43","Horta-Guinardó","Horta","156","144","15","107","52","20","34","10879","8943","1936","","","3696","03/03/2023 00:02:11"
"07","28310","122","43","Horta-Guinardó","Horta","156","6","1","19","0","0","19","6145","6145","0","","","8671","03/03/2023 00:02:11"
"07","28320","122","43","Horta-Guinardó","Horta","156","582","21","397","175","53","69","28788","25386","3402","","","6904","03/03/2023 00:02:11"
"07","28330","121","43","Horta-Guinardó","Horta","156","681","23","510","186","134","86","36953","29842","7111","","","7569","03/03/2023 00:02:11"
"07","28340","121","43","Horta-Guinardó","Horta","156","527","20","492","194","145","102","30897","25508","5389","","","5912","03/03/2023 00:02:11"
"07","28350","119","43","Horta-Guinardó","Horta","156","124","9","105","33","0","38","7588","6775","813","","","1679","03/03/2023 00:02:11"
"07","28360","119","43","Horta-Guinardó","Horta","156","0","1","169","0","0","169","1931","1883","48","","","2021","03/03/2023 00:02:11"
"07","28370","119","43","Horta-Guinardó","Horta","156","339","21","373","116","128","77","21101","18240","2861","","","5591","03/03/2023 00:02:11"
"07","28380","119","43","Horta-Guinardó","Horta","156","275","24","209","120","31","43","14172","12393","1779","","","4045","03/03/2023 00:02:11"
"07","28390","119","43","Horta-Guinardó","Horta","156","474","21","239","126","2","40","16528","16259","269","","","4118","03/03/2023 00:02:11"
"07","28401","071","37","Horta-Guinardó","el Carmel","148","0","1","0","0","0","0","0","0","0","","","6213","03/03/2023 00:02:11"
"07","28411","119","43","Horta-Guinardó","Horta","156","117","12","92","48","25","9","5797","5201","596","","","2303","03/03/2023 00:02:11"
"07","28421","072","37","Horta-Guinardó","el Carmel","148","582","37","319","231","11","55","27332","26886","446","","","12566","03/03/2023 00:02:11"
